Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
ALA 18:3 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
EPA 20:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
DPA 22:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
DHA 22:6 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Vit. A (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Water,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,55.3,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Protein (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,62.68656716,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Chitin corrected protein,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Chitin,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Ca (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
I (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Fe (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Zn (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
