Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Nov_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,0.66,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Jan_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,0.36,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mar_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,0.48,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Mayo2_Future foods
Water,g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Protein (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,3.254158812,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Chitin corrected protein,g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Chitin,g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Ca (mg),mg/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
I (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Fe (mg),mg/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Zn (mg),mg/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Vit. B12 (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Vitamin D2(µg),ug/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Vitamin D3,ug/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Vit. D (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
ALA 18:3 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
EPA 20:5 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
DPA 22:5 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
DHA 22:6 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Vit. A (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Fresh weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Fresh weight_WildcaughtSpain_Future foods
Water,g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Protein (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,0.70928,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Chitin corrected protein,g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Chitin,g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Ca (mg),mg/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,95.7528,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
I (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,1879.592,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Fe (mg),mg/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Zn (mg),mg/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Vit. B12 (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Vitamin D2(µg),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Vitamin D3,ug/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Vit. D (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
ALA 18:3 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
EPA 20:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
DPA 22:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
DHA 22:6 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Vit. A (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,min,Future foods,4.728533333,Pereira 2011_Sugar kelp_Fresh weight_min_Future foods
Water,g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Protein (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,3.073546667,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Chitin corrected protein,g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Chitin,g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Ca (mg),mg/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
I (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Fe (mg),mg/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Zn (mg),mg/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Vit. B12 (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Vitamin D2(µg),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Vitamin D3,ug/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Vit. D (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
ALA 18:3 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
EPA 20:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
DPA 22:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
DHA 22:6 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Vit. A (ug),ug/100g,Pereira 2011,Sugar kelp,Fresh weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Fresh weight_max_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,0.006501733,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,0.000236427,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mayo1_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,0.002955333,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,0.001182133,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-jun,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-jun_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
